Blackfoot,English
Aisaksittoo,Cinema
Itaohpomoapii,Store
Itaisimmioapii,Night club
Itoiyo’pii,Cafe
Naapoiyiss,House
Niitoiyiss,Tipi
Aohkii,Water
Mamii,Fish
Aotahkoinammiksi,Oranges
Aipasstaamiinammiksi,Apples
Paataakistsi,Potatoes
Pikkiaaksin,Burger
Pisatsoyiikan,Dessert
Napayin,Bread
Siksikimmii,Tea
Iitapsiksikimmii,Coffee
Makapoiyiss,Bathroom
Itoiyo'soap,Kitchen
Aiksistomatomahka,Car
Kitsim,Door
Aisspaohpii,Elevator
Ksisstsikomstan,Window
Imitaa,Dog
Ninaa,Man
Aakii,Woman
Aakiikoan,Girl
Saahkomaapi,Boy
Iksisst,Mother
Inn,Father
Oki,Hello
Oki napi,Hello friend
Tsa niita'piiwa?,How are you?
Tsikohssokopii. Kistoo?,I am doing good. You?
Matohkwiikii,Not too bad
Okí,Let's go
Aa,Yes
Saa,No
Annohk,Today
Ksisskanaotonni,This morning
Aapinakos,Tomorrow
Nitaakitapoo,I will go
Nitaaksoyi,I will eat
